Quant	CONsub	quand
li	DETdef	le
deciple	NOMcom	desciple
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
eurent	VERcjg	avoir
receut	VERppe	recevoir
le	DETdef	le
Saint	ADJqua	saint
Esperit	NOMcom	esprit
,	PONfbl	,
il	PROper	il
se	PROper	soi
partirent	VERcjg	partir
doi	PROcar	deux
et	CONcoo	et
doi	PROcar	deux
,	PONfbl	,
por	PRE	por
aler	VERinf	aler
preeschier	VERinf	prêcher
la	DETdef	le
foi	NOMcom	foi
que	PROrel	que
lor	DETpos	lor
bons	ADJqua	bon
maistres	NOMcom	maître
Jhesu	NOMpro	Jésus
Criz	NOMpro	Chrsit
lor	PROper	il
avoit	VERcjg	avoir
ensegniét	VERppe	enseigner
.	PONfrt	.

Sains	ADJqua	saint
Pieres	NOMpro	Pierre
,	PONfbl	,
qui	PROrel	que
plus	ADVgen	plus
fermement	ADVgen	fermement
et	CONcoo	et
plus	ADVgen	plus
tenrement	ADVgen	tenrement
amoit	VERcjg	amer
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
de	PRE	de
haut	ADJqua	haut
cuer	NOMcom	cuer
,	PONfbl	,
se	PROper	soi
partoit	VERcjg	partir
a	PRE	a
envis	NOMcom	envis
des	PRE.DETdef	de.le
amis	NOMcom	ami
au	PRE.DETdef	a
vrai	ADJqua	vrai
amant	VERppa	amant
et	CONcoo	et
meesmement	ADVgen	mêmement
de	PRE	de
la	DETdef	le
Magdeleine	NOMpro	Maglenine
,	PONfbl	,
por	PRE	por
ce	PROdem	ce
ke	CONsub	que
il	PROper	il
savoit	VERcjg	savoir
que	CONsub	que
plus	ADVgen	plus
ardanment	ADVgen	ardamment
l'	PROper	il
amoit	VERcjg	amer
.	PONfrt	.

Si	ADVgen	si
pensa	VERcjg	penser
que	CONsub	que
de	PRE	de
li	PROper	il
ne	ADVneg	ne
se	PROper	soi
partiroit	VERcjg	partir
il	PROper	il
mie	ADVneg	mie
,	PONfbl	,
devant	PRE	devant
ke	CONsub	que
il	PROper	il
li	PROper	il
eust	VERcjg	avoir
donét	VERppe	donner
pere	NOMcom	père
espirituel	ADJqua	espirituel
,	PONfbl	,
ki	PROrel	qui
eust	VERcjg	avoir
la	DETdef	le
cure	NOMcom	cure
de	PRE	de
li	PROper	il
;	PONfbl	;
si	ADVgen	si
la	PROper	il
commanda	VERcjg	commander
a	PRE	a
Saint	ADJqua	saint
Maximien	NOMpro	Malimien
ki	PROrel	qui
estoit	VERcjg	estre
uns	PROind	un
de	PRE	de
LXX	DETcar	vingt
meneurs	ADJqua	mineur
deciples	NOMcom	disciple
,	PONfbl	,
et	CONcoo	et
se	ADVgen	si
li	PROper	il
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
En	PRE	en
cele	DETdem	cil
douce	ADJqua	doux
,	PONfbl	,
en	PRE	en
cele	DETdem	cil
sage	ADJqua	sage
en	PRE	en
cele	DETdem	cil
amerose	ADJqua	amereux
garde	NOMcom	garde
que	PROrel	que
nos	DETpos	notre
bons	ADJqua	bon
peres	NOMcom	père
Jhesu	NOMpro	Jésus
Cris	NOMpro	Christ
commanda	VERcjg	commander
sa	DETpos	son
douce	ADJqua	doux
mere	NOMcom	mere
Saint	ADJqua	saint
Jehan	NOMpro	Jean
Evvangeliste	NOMpro	Evangalise
,	PONfbl	,
te	PROper	tu
commanc	VERcjg	commander
je	PROper	je
la	DETdef	le
Magdelaine	NOMcom	magaillaine
”	PONpdr	”
.	PONfrt	.

Apres	PRE	après
ce	PROdem	ce
il	PROper	il
se	PROper	soi
deviserent	VERcjg	deviser
,	PONfbl	,
et	CONcoo	et
par	PRE	par
mer	NOMcom	mer
et	CONcoo	et
par	PRE	par
terre	NOMcom	terre
,	PONfbl	,
u	CONcoo	ou
ke	CONsub	que
li	DETdef	le
autre	PROind	autre
alassent	VERcjg	aller
il	PROimp	il
n'	ADVneg	ne
est	VERcjg	estre
mie	ADVneg	mie
mestiers	NOMcom	mestier
ke	CONsub	que
je	PROper	je
le	PROper	il
die	VERcjg	dire
ci	ADVgen	ci
.	PONfrt	.

Mais	CONcoo	mais
li	DETdef	le
Magdalaine	NOMpro	Magalein
et	CONcoo	et
Sains	ADJqua	saint
Maxemiens	NOMpro	Malemien
ariverent	VERcjg	arriver
a	PRE	a
Marseile	NOMpro	Marsel
et	CONcoo	et
si	ADVgen	si
prisent	VERcjg	prendre
terre	NOMcom	terre
a	PRE	a
preechier	VERinf	prêcher
Marseile	NOMpro	Marsel
,	PONfbl	,
et	CONcoo	et
tot	DETind	tot
le	DETdef	le
roialme	NOMcom	royaume
d'	PRE	de
Aquilee	NOMpro	Aquile
.	PONfrt	.

La	DETdef	le
Magdalaine	NOMpro	Magalein
avoit	VERcjg	avoir
non	NOMcom	nom
Magdele	NOMpro	Magdele
por	PRE	por
un	DETndf	un
castel	NOMcom	château
ki	PROrel	qui
siens	ADJpos	sien
astoit	VERcjg	être
en	PRE	en
le	DETdef	le
terre	NOMcom	terre
de	PRE	de
Jerusalem	NOMpro	Jérusalem
.	PONfrt	.

La	DETdef	le
meesmes	ADJind	même
avoit	VERcjg	avoir
ele	PROper	il
une	DETndf	un
contee	NOMcom	contee
ki	PROrel	qui
soie	VERcjg	estre
astoit	VERcjg	être
,	PONfbl	,
dedens	PRE	dedans
Jerusalem	NOMpro	Jérusalem
avoit	VERcjg	avoir
ele	PROper	il
une	DETndf	un
rue	NOMcom	rue
,	PONfbl	,
tot	DETind	tot
ce	PROdem	ce
astoit	VERcjg	être
ses	DETpos	son
patrimoines	NOMcom	patrimoine
ki	PROrel	qui
escheuz	VERppe	eschëu
li	PROper	il
estoit	VERcjg	estre
et	CONcoo	et
ce	PROdem	ce
di	VERcjg	dire
je	PROper	je
por	PRE	por
ce	PROdem	ce
ke	CONsub	que
on	PROind	on
sache	VERcjg	savoir
la	DETdef	le
nobilité	NOMcom	nobilité
et	CONcoo	et
la	DETdef	le
richece	NOMcom	richesse
de	PRE	de
li	PROper	il
,	PONfbl	,
car	CONcoo	car
ele	PROper	il
astoit	VERcjg	être
de	PRE	de
lignie	NOMcom	lignée
de	PRE	de
roi	NOMcom	roi
.	PONfrt	.

Tot	DETind	tot
ce	PROdem	ce
avoit	VERcjg	avoir
ele	PROper	il
laissiét	VERppe	laisser
,	PONfbl	,
por	PRE	por
ce	PROdem	ce
k'	CONsub	que
ele	PROper	il
fuist	VERcjg	être
povre	ADJqua	povre
et	CONcoo	et
samblanz	VERppa	sembler
a	PRE	a
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
son	DETpos	son
bon	ADJqua	bon
ami	NOMcom	ami
,	PONfbl	,
et	CONcoo	et
por	PRE	por
ce	PROdem	ce
ke	CONsub	que
li	DETdef	le
richece	NOMcom	richesse
ne	ADVneg	ne
la	PROper	il
destorbast	VERcjg	détourber
de	PRE	de
penser	VERinf	penser
a	PRE	a
ses	DETpos	son
amors	NOMcom	amor
;	PONfbl	;
et	CONcoo	et
si	ADVgen	si
savoit	VERcjg	savoir
bien	ADVgen	bien
ke	CONsub	que
Nostre	DETpos	notre
Sires	NOMcom	sire
li	PROper	il
avoit	VERcjg	avoir
pardoneit	VERppe	pardonner
ses	DETpos	son
pechiez	VERppe	pechié
,	PONfbl	,
por	PRE	por
ce	PROdem	ce
ke	CONsub	que
ele	PROper	il
mult	ADVgen	moult
l'	PROper	il
amoit	VERcjg	amer
,	PONfbl	,
et	CONcoo	et
ce	PROdem	ce
tesmoigne	VERcjg	témoigner
li	DETdef	le
evangiles	NOMcom	évangile
:	PONfbl	:
“	PONpga	“
Dimissa	VERcjg	dimisser
sunt	VERcjg	être
ei	VERppe	ainer
peccata	ETR	PECICha
multa	ADVgen	moult
quoniam	ETR	ConNIM
dilexit	ETR	dilet
multum	ETR	Moult
”	PONpdr	”
.	PONfrt	.

Or	ADVgen	or
revenons	VERcjg	revenir
a	PRE	a
no	DETpos	notre
matere	NOMcom	matiere
.	PONfrt	.

La	DETdef	le
Magdelaine	NOMpro	Magelain
preechoit	VERcjg	prêcher
si	ADVgen	si
bien	ADVgen	bien
et	CONcoo	et
si	ADVgen	si
bel	ADVgen	bel
et	CONcoo	et
si	ADVgen	si
desiranment	ADVgen	desiramment
,	PONfbl	,
ke	CONsub	que
chascuns	PROind	chascun
pooit	VERcjg	pöoir
veir	VERinf	voir
a	PRE	a
son	DETpos	son
viaire	NOMcom	viaire
la	DETdef	le
grant	ADJqua	grant
affection	NOMcom	affection
de	PRE	de
cuer	NOMcom	cuer
et	CONcoo	et
la	DETdef	le
grant	ADJqua	grant
volenté	NOMcom	volonté
ke	PROrel	que
ele	PROper	il
avoit	VERcjg	avoir
de	PRE	de
traire	VERinf	traire
lo	DETdef	le
pueble	NOMcom	pueble
a	PRE	a
la	DETdef	le
foi	NOMcom	foi
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
,	PONfbl	,
et	CONcoo	et
por	PRE	por
ce	PROdem	ce
ke	CONsub	que
ele	PROper	il
en	PRE	en
tele	DETind	tel
maniere	NOMcom	manière
preeschoit	VERcjg	prêcher
,	PONfbl	,
creoient	VERcjg	croire
mult	ADVgen	moult
de	PRE	de
gent	NOMcom	gent
.	PONfrt	.

Avoc	PRE	avec
tot	DETind	tot
ce	PROdem	ce
faisoit	VERcjg	faire
Nostre	DETpos	notre
Sires	NOMcom	sire
si	ADVgen	si
grans	ADJqua	grand
miracles	NOMcom	miracle
par	PRE	par
li	PROper	il
ke	CONsub	que
tot	DETind	tot
cil	PROdem	cel
ki	PROrel	qui
estoient	VERcjg	être
a	PRE	a
son	DETpos	son
sermon	NOMcom	sermon
s'	PROper	soi
en	PROadv	en
esbaissoient	VERcjg	esbaissier
.	PONfrt	.

Li	DETdef	le
rois	NOMcom	roi
d'	PRE	de
Aquilee	NOMpro	Aquile
,	PONfbl	,
quant	CONsub	cant
il	PROper	il
vit	VERcjg	vëoir
les	DETdef	le
grans	ADJqua	grand
miracles	NOMcom	miracle
ke	PROrel	que
Nostre	DETpos	notre
Sires	NOMcom	sire
faisoit	VERcjg	faire
por	PRE	por
li	PROper	il
vient	VERcjg	venir
a	PRE	a
li	PROper	il
et	CONcoo	et
si	ADVgen	si
li	PROper	il
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Noble	ADJqua	noble
damoisele	NOMcom	damoiselle
,	PONfbl	,
je	PROper	je
sui	VERcjg	estre
sires	NOMcom	seignor
de	PRE	de
tote	DETind	tot
ceste	DETdem	cest
terre	NOMcom	terre
et	CONcoo	et
si	ADVgen	si
n'	ADVneg	ne
ai	VERcjg	avoir
nul	DETind	nul
enfant	NOMcom	enfant
.	PONfrt	.

Se	CONsub	se
tu	PROper	tu
pooies	VERcjg	pouvoir
tant	ADVgen	tant
faire	VERinf	faire
a	PRE	a
ton	DETpos	ton
deu	NOMcom	dieu
k'	CONsub	que
il	PROper	il
me	PROper	je
donaist	VERcjg	donner
un	DETndf	un
enfant	NOMcom	enfant
,	PONfbl	,
je	PROper	je
kerroie	VERcjg	querre
en	PRE	en
lui	PROper	il
,	PONfbl	,
et	CONcoo	et
si	ADVgen	si
feroie	VERcjg	faire
croire	VERinf	croire
tot	DETind	tot
cels	PROdem	cil
de	PRE	de
mon	DETpos	mon
regne	NOMcom	règne
”	PONpdr	”
.	PONfrt	.

La	DETdef	le
Magdelaine	NOMpro	Magelain
quant	CONsub	cant
ele	PROper	il
vit	VERcjg	vëoir
si	ADVgen	si
grant	ADJqua	grant
gaaing	NOMcom	gäaing
,	PONfbl	,
ele	PROper	il
li	PROper	il
respondi	VERcjg	répondre
ke	CONsub	que
ele	PROper	il
mult	ADVgen	moult
volentiers	ADVgen	volentiers
en	PROadv	en
prieroit	VERcjg	priier
a	PRE	a
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
,	PONfbl	,
et	CONcoo	et
ele	PROper	il
meismes	ADJind	même
en	PROadv	en
pria	VERcjg	prier
.	PONfrt	.

Ne	CONcoo	ne
mie	ADVneg	mie
lonc	ADJqua	lonc
tans	NOMcom	tens
apres	PRE	après
ce	PROdem	ce
revint	VERcjg	revenir
li	DETdef	le
rois	NOMcom	roi
au	PRE.DETdef	a
sermon	NOMcom	sermon
la	DETdef	le
Magdelaine	NOMpro	Magelain
,	PONfbl	,
mult	ADVgen	moult
joianz	ADJqua	joiant
et	CONcoo	et
mult	ADVgen	moult
liez	ADJqua	lié
,	PONfbl	,
se	ADVgen	si
li	PROper	il
dist	VERcjg	dire
ke	CONsub	que
sa	DETpos	son
femme	NOMcom	femme
estoit	VERcjg	estre
griés	ADJqua	grief
,	PONfbl	,
la	DETdef	le
Magdelaine	NOMpro	Magelain
en	PROadv	en
loa	VERcjg	louer
Nostre	DETpos	notre
Sanior	NOMcom	seigneur
et	CONcoo	et
si	ADVgen	si
dist	VERcjg	dire
au	PRE.DETdef	a
roi	NOMcom	roi
k'	CONsub	que
il	PROper	il
paiast	VERcjg	payer
ce	PROdem	ce
k'	PROrel	que
il	PROper	il
avoit	VERcjg	avoir
promis	VERppe	prometre
a	PRE	a
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
,	PONfbl	,
et	CONcoo	et
il	PROper	il
si	ADVgen	si
fist	VERcjg	faire
.	PONfrt	.

Il	PROper	il
se	PROper	soi
fist	VERcjg	faire
baptisier	VERinf	baptiser
et	CONcoo	et
tote	DETind	tot
sa	DETpos	son
mainie	NOMcom	maisnie
,	PONfbl	,
et	CONcoo	et
apres	PRE	après
la	DETdef	le
Magdelaine	NOMpro	Magelain
li	PROper	il
enjoinst	VERcjg	enjoindre
k'	CONsub	que
il	PROper	il
alaist	VERcjg	aller
en	PRE	en
pelerinage	NOMcom	pèlerinage
en	PRE	en
Jerusalem	NOMpro	Jérusalem
,	PONfbl	,
et	CONcoo	et
la	PROper	il
troveroit	VERcjg	trover
Saint	ADJqua	saint
Pierre	NOMpro	Pierre
,	PONfbl	,
le	DETdef	le
grant	ADJqua	grant
ami	NOMcom	ami
Nostre	DETpos	notre
Sanior	NOMcom	seigneur
,	PONfbl	,
ki	PROrel	qui
le	PROper	il
menroit	VERcjg	mener
la	ADVgen	là
ou	PROrel	où
Nostre	DETpos	notre
Sires	NOMcom	sire
avoit	VERcjg	avoir
preschiét	VERppe	prêcher
,	PONfbl	,
la	ADVgen	là
ou	PROrel	où
il	PROper	il
avoit	VERcjg	avoir
esteit	VERppe	être
batuz	VERppe	batre
et	CONcoo	et
crucefiez	VERppe	crucifier
,	PONfbl	,
et	CONcoo	et
au	PRE.DETdef	a
sepulcre	NOMcom	sépulcre
et	CONcoo	et
en	PRE	en
tos	DETind	tous
les	DETdef	le
bons	ADJqua	bon
lieus	NOMcom	lieu
ou	PROrel	où
il	PROper	il
avoit	VERcjg	avoir
esté	VERppe	être
,	PONfbl	,
et	CONcoo	et
puis	ADVgen	puis
se	ADVgen	si
li	PROper	il
dona	VERcjg	doner
se	DETpos	son
crois	NOMcom	croix
dont	PROrel	dont
on	PROind	on
dit	VERcjg	dire
ke	CONsub	que
se	PROper	soi
fu	VERcjg	estre
la	DETdef	le
premeraine	ADJord	premerain
crois	NOMcom	croix
ki	PROrel	qui
fu	VERcjg	estre
portee	VERppe	porter
en	PRE	en
pelerignage	NOMcom	pèlerigage
en	PRE	en
Jherusalem	NOMpro	Jérusalem
.	PONfrt	.

Quant	CONsub	quand
li	DETdef	le
rois	NOMcom	roi
ot	VERcjg	avoir
aparelié	VERppe	apareillier
s'	DETpos	son
estoire	NOMcom	estoire
por	PRE	por
passer	VERinf	passer
,	PONfbl	,
il	PROper	il
entra	VERcjg	entrer
en	PRE	en
mer	NOMcom	mer
o	PRE	o
sa	DETpos	son
femme	NOMcom	femme
ki	PROrel	qui
astoit	VERcjg	être
sor	PRE	sor
l'	DETdef	le
agesir	VERinf	agesir
et	CONcoo	et
autre	DETind	autre
gens	NOMcom	gens
assez	ADVgen	assez
et	CONcoo	et
quant	CONsub	cant
il	PROper	il
orent	VERcjg	avoir
grant	ADJqua	grant
piece	NOMcom	piece
erré	VERppe	errer
par	PRE	par
mer	NOMcom	mer
la	DETdef	le
roine	NOMcom	reine
ageut	VERcjg	ager
de	PRE	de
son	DETpos	son
enfant	NOMcom	enfant
et	CONcoo	et
s'	PROper	soi
en	PROadv	en
morut	VERcjg	mourir
.	PONfrt	.

Li	DETdef	le
rois	NOMcom	roi
ot	VERcjg	avoir
mult	ADVgen	moult
grant	ADJqua	grant
duel	NOMcom	duel
,	PONfbl	,
et	CONcoo	et
se	PROper	soi
complaint	VERcjg	complaindre
a	PRE	a
Nostre	DETpos	notre
Sanior	NOMcom	seigneur
de	PRE	de
la	DETdef	le
riens	NOMcom	rien
ke	PROrel	que
plus	ADVgen	plus
amoit	VERcjg	amer
,	PONfbl	,
coment	ADVsub	comment
il	PROper	il
li	PROper	il
avoit	VERcjg	avoir
tolue	VERppe	tolir
,	PONfbl	,
et	CONcoo	et
se	ADVgen	si
s'	PROper	soi
esmerveilhoit	VERcjg	esmerveiller
coment	ADVsub	comment
si	ADVgen	si
granz	ADJqua	grant
crieltez	NOMcom	crïeauté
estoit	VERcjg	estre
trovee	VERppe	trover
en	PRE	en
lui	PROper	il
,	PONfbl	,
s'	CONsub	se
il	PROper	il
dire	VERinf	dire
l'	PROper	il
osoit	VERcjg	oser
,	PONfbl	,
en	PRE	en
fontaine	NOMcom	fontaine
de	PRE	de
dolçor	NOMcom	douçor
et	CONcoo	et
de	PRE	de
debonaireté	NOMcom	débonnaireté
.	PONfrt	.

Assés	ADVgen	assez
d'	PRE	de
autres	DETind	autre
complaintes	NOMcom	complainte
i	PROadv	i
fist	VERcjg	faire
,	PONfbl	,
et	CONcoo	et
si	ADVgen	si
se	PROper	soi
pensat	VERcjg	penser
k'	CONsub	que
il	PROper	il
la	DETdef	le
dame	NOMcom	dame
vestiroit	VERcjg	vestir
de	PRE	de
melhors	ADJqua	meilleur
draz	NOMcom	drap
ke	PROrel	que
ele	PROper	il
avoit	VERcjg	avoir
,	PONfbl	,
selons	PRE	selon
le	DETdef	le
constume	NOMcom	coutume
de	PRE	de
son	DETpos	son
pais	NOMcom	paix
et	CONcoo	et
si	ADVgen	si
la	PROper	il
metreroit	VERcjg	metre
en	PRE	en
une	DETndf	un
isle	NOMcom	île
de	PRE	de
mer	NOMcom	mer
,	PONfbl	,
dont	PROrel	dont
il	PROper	il
estoit	VERcjg	estre
pres	ADVgen	près
.	PONfrt	.

Et	CONcoo	et
por	PRE	por
ce	PROdem	ce
k'	CONsub	que
en	PRE	en
la	DETdef	le
nef	NOMcom	nef
n'	ADVneg	ne
avoit	VERcjg	avoir
femme	NOMcom	femme
ki	PROrel	qui
l'	DETdef	le
enfant	NOMcom	enfant
peust	VERcjg	pouvoir
norrir	VERinf	nourrir
,	PONfbl	,
il	PROper	il
le	PROper	il
lairoit	VERcjg	laisser
avoec	PRE	avuec
la	DETdef	le
mere	NOMcom	mere
,	PONfbl	,
si	ADVgen	si
la	PROper	il
commenderoit	VERcjg	commender
a	PRE	a
la	DETdef	le
Magdelaine	NOMpro	Magelain
par	PRE	par
cui	PROrel	que
proire	VERinf	prire
il	PROper	il
l'	PROper	il
avoit	VERcjg	avoir
eu	VERppe	avoir
,	PONfbl	,
et	CONcoo	et
ensi	ADVgen	ainsi
le	PROper	il
fist	VERcjg	faire
com	CONsub	come
il	PROper	il
l'	PROper	il
avoit	VERcjg	avoir
enpensét	VERppe	empenser
,	PONfbl	,
et	CONcoo	et
puis	ADVgen	puis
si	ADVgen	si
parfist	VERcjg	parfaire
son	DETpos	son
pelerinage	NOMcom	pèlerinage
,	PONfbl	,
si	ADVgen	si
trova	VERcjg	trover
Sain	ADJqua	sain
Piere	NOMpro	Pierre
ausi	ADVgen	aussi
com	CONsub	come
la	DETdef	le
Magdelaine	NOMpro	Magelain
li	PROper	il
ot	VERcjg	avoir
dit	VERppe	dire
.	PONfrt	.

Quant	CONsub	quand
Sains	ADJqua	saint
Pierres	NOMpro	piere
oï	VERcjg	öir
noveles	NOMcom	novele
de	PRE	de
la	DETdef	le
Magdelaine	NOMcom	magaillaine
,	PONfbl	,
n'	ADVneg	ne
est	VERcjg	estre
pas	ADVneg	pas
mervelhe	NOMcom	merveille
s'	CONsub	se
il	PROper	il
en	PROadv	en
fu	VERcjg	estre
