entre	PRE	entre
ses	DETpos	son
bras	NOMcom	bras
Yseut	NOMpro	Iseut
la	DETdef	le
reine	VERcjg	renier
.	PONfrt	.

Bien	ADVgen	bien
cuidoient	VERcjg	cuidier
estre	VERinf	estre
a	PRE	a
seür	ADJqua	sëur
,	PONfbl	,
sorvint	VERcjg	sorvenir
i	PROadv	i
par	PRE	par
estrange	ADJqua	estrange
eür	NOMcom	ëur
li	DETdef	le
rois	NOMcom	roi
,	PONfbl	,
que	CONsub	que
li	DETdef	le
nains	NOMcom	nain
i	PROadv	i
amene	VERcjg	amener
.	PONfrt	.

prandre	VERinf	prendre
les	PROper	il
cuidoit	VERcjg	cuidier
a	PRE	a
l'	DETdef	le
ovraine	NOMcom	ovraine
,	PONfbl	,
mes	CONcoo	mais
,	PONfbl	,
merci	NOMcom	merci
Deu	NOMpro	Dieu
,	PONfbl	,
bien	ADVgen	bien
domorerent	VERcjg	demourer
quant	CONsub	cant
aus	PROper	il
endormis	VERppe	endormir
les	PROper	il
troverent	VERcjg	trouver
.	PONfrt	.

Li	DETdef	le
rois	NOMcom	roi
les	PROper	il
voit	VERcjg	vëoir
,	PONfbl	,
au	PRE.DETdef	a
naim	NOMcom	naim
a	VERcjg	avoir
dit	VERppe	dire
:	PONfbl	:
“	PONpga	“
Atendés	VERcjg	attendre
moi	PROper	je
chi	ADVgen	ci
un	DETndf	un
petit	PROind	petit
;	PONfbl	;
en	PRE	en
cel	DETdem	cil
palais	NOMcom	palais
la	ADVgen	là
sus	ADVgen	sus
irai	VERcjg	aler
,	PONfbl	,
de	PRE	de
mes	DETpos	mon
barons	NOMcom	baron
i	PROadv	i
amerrai	VERcjg	amer
.	PONfrt	.

Verront	VERcjg	vëoir
com	CONsub	come
les	PROper	il
avon	VERcjg	avoir
trovez	VERppe	trover
;	PONfbl	;
ardoir	VERinf	ardre
les	PROper	il
frai	VERcjg	faire
,	PONfbl	,
quant	CONsub	cant
iert	VERcjg	estre
provez	VERppe	prover
.	PONfbl	.
”	PONpdr	”
Tristan	NOMpro	Tristan
s'	PROper	soi
esvella	VERcjg	esveillier
a	PRE	a
itant	ADVgen	itant
,	PONfbl	,
voit	VERcjg	vëoir
le	DETdef	le
roi	NOMcom	roi
,	PONfbl	,
mes	CONcoo	mais
ne	ADVneg	ne
fait	VERcjg	faire
senblant	VERppa	semblant
,	PONfbl	,
car	CONcoo	car
el	PRE.DETdef	en
palés	NOMcom	palais
va	VERcjg	aler
il	PROper	il
son	DETpos	son
pas	NOMcom	pas
.	PONfrt	.

Tristan	NOMpro	Tristan
se	PROper	soi
dreche	VERcjg	dresser
e	CONcoo	et
dit	VERcjg	dire
:	PONfbl	:
“	PONpga	“
A	INJ	ah
!	PONfrt	!

las	ADJqua	las
!	PONfrt	!

Amie	NOMcom	ami
Yseut	NOMpro	Iseut
,	PONfbl	,
car	ADVgen	car
esvelliez	VERppe	esveillier
!	PONfrt	!

Par	PRE	par
engien	NOMcom	engin
somes	VERcjg	estre
agaitiez	VERppe	agaitier
.	PONfrt	.

Li	DETdef	le
rois	NOMcom	roi
a	VERcjg	avoir
veu	VERppe	voir
quanque	PROrel	cant
avon	VERcjg	avoir
fait	VERppe	faire
,	PONfbl	,
au	PRE.DETdef	a
palais	NOMcom	palais
a	PRE	a
ses	DETpos	son
omes	NOMcom	homme
vait	VERcjg	aller
;	PONfbl	;
fra	VERcjg	faire
nos	PROper	nos
,	PONfbl	,
s'	CONsub	se
il	PROper	il
puet	VERcjg	pöoir
,	PONfbl	,
ensenble	ADVgen	ensemble
prendre	VERinf	prendre
,	PONfbl	,
par	PRE	par
jugement	NOMcom	jugement
ardoir	VERinf	ardre
en	PRE	en
cendre	NOMcom	cendre
