¶	ADJcar	¶
La	DETdef	le
male	ADJqua	mal
honte	NOMcom	honte
Hues	NOMpro	Hues
de	PRE	de
Cambrai	NOMpro	Cambrai
conte	VERcjg	conter
et	CONcoo	et
dist	VERcjg	dire
,	PONfbl	,
qui	PROrel	que
de	PRE	de
ceste	DETdem	cest
oevre	NOMcom	uevre
rime	NOMcom	rime
fist	VERcjg	faire
,	PONfbl	,
qu'	PROrel	que
en	PRE	en
l'	DETdef	le
eveschié	NOMcom	eveschié
de	PRE	de
Cantorbile	NOMpro	Cantorbile
ot	VERcjg	avoir
.i	PROind	un
.	PONfrt	.

Englés	NOMpro	Angles
a	VERcjg	avoir
une	DETndf	un
vile	NOMcom	vile
.	PONfrt	.

Riches	ADJqua	riche
hom	NOMcom	homme
estoit	VERcjg	estre
a	PRE	a
grant	ADJqua	grant
force	NOMcom	force
.	PONfrt	.

La	DETdef	le
Mort	NOMcom	mort
qui	PROrel	que
toute	DETind	tout
rien	NOMcom	rien
esforce	VERcjg	esforcier
,	PONfbl	,
le	PROper	il
prist	VERcjg	prendre
.i	PROind	un
.	PONfrt	.

jor	NOMcom	jor
a	PRE	a
son	DETpos	son
ostel	NOMcom	ostel
.	PONfrt	.

Partir	VERinf	partir
devoit	VERcjg	devoir
a	PRE	a
son	DETpos	son
chatel	NOMcom	chatel
li	DETdef	le
rois	NOMcom	roi
qui	PROrel	que
d'	PRE	de
Engleterre	NOMpro	Angleterre
ert	VERcjg	être
sire	NOMcom	seignor
.	PONfrt	.

C'	PROdem	ce
est	VERcjg	estre
la	DETdef	le
coustume	NOMcom	coutume
de	PRE	de
l'	DETdef	le
empire	NOMcom	empire
.	PONfrt	.

Li	DETdef	le
vilains	NOMcom	vilain
dont	PROrel	dont
je	PROper	je
di	VERcjg	dire
le	DETdef	le
conte	NOMcom	conte
avoit	VERcjg	avoir
a	PRE	a
non	NOMcom	nom
ou	CONcoo	o
païs	NOMcom	päis
Honte	NOMcom	honte
.	PONfrt	.

De	PRE	de
grant	ADJqua	grant
avoir	VERinf	avoir
ert	VERcjg	être
assasez	VERppe	assaser
,	PONfbl	,
mes	CONcoo	mais
ainçois	ADVgen	ainçois
qu'	CONsub	que
il	PROper	il
fust	VERcjg	estre
devïez	VERppe	devier
parti	VERcjg	partir
en	PRE	en
.ii	PROcar	deus
.	PONfrt	.

pars	NOMcom	part
son	DETpos	son
avoir	VERinf	avoir
.	PONfrt	.

Ce	PROdem	ce
que	PROrel	que
li	DETdef	le
