¶	ADJcar	¶
De	PRE	de
Boivin	NOMpro	Boivin
de	PRE	de
Provins	NOMpro	Provin
Molt	ADVgen	moult
bons	ADJqua	bon
lechierres	NOMcom	lechëor
fu	VERcjg	estre
Boivins	NOMpro	Bovivin
.	PONfrt	.

Porpenssa	VERcjg	pourpenser
soi	PROper	soi
que	CONsub	que
a	PRE	a
Prouvins	NOMpro	Prouvin
a	PRE	a
la	DETdef	le
foire	NOMcom	foire
voudra	VERcjg	vouloir
aler	VERinf	aler
et	CONcoo	et
si	ADVgen	si
fera	VERcjg	faire
de	PRE	de
lui	PROper	il
parler	VERinf	parler
.	PONfrt	.

Ainsi	ADVgen	ainsi
le	PROper	il
fet	VERcjg	faire
com	CONsub	come
l'	PROper	il
a	VERcjg	avoir
empris	VERppe	emprendre
.	PONfrt	.

Vestuz	VERppe	vestir
se	PROper	soi
fu	VERcjg	estre
d'	PRE	de
un	DETndf	un
burel	NOMcom	bureau
gris	ADJqua	gris
,	PONfbl	,
cote	NOMcom	cote
et	CONcoo	et
sorcot	VERcjg	sorchoir
et	CONcoo	et
chape	NOMcom	chape
ensamble	ADVgen	ensemble
qui	PROrel	que
tout	PROind	tout
fu	VERcjg	estre
d'	PRE	de
un	PROind	un
,	PONfbl	,
si	ADVgen	si
com	CONsub	come
moi	PROper	je
samble	VERcjg	sembler
,	PONfbl	,
et	CONcoo	et
si	ADVgen	si
ot	VERcjg	avoir
coiffe	NOMcom	coiffe
de	PRE	de
borras	NOMcom	borre
.	PONfrt	.

Ses	DETpos	son
sollers	NOMcom	soulier
ne	ADVneg	ne
sont	VERcjg	estre
mie	ADVneg	mie
a	PRE	a
las	ADJqua	las
,	PONfbl	,
ainz	ADVgen	ainz
sont	VERcjg	estre
de	PRE	de
vache	NOMcom	vache
dur	ADJqua	dur
et	CONcoo	et
fort	ADJqua	fort
.	PONfrt	.

Et	CONcoo	et
cil	PROdem	cel
qui	PROrel	que
molt	ADVgen	moult
de	PRE	de
barat	NOMcom	barat
sot	VERcjg	savoir
“	PONpga	“
.i	PROind	un
.	PONfrt	.

mois	NOMcom	mois
et	CONcoo	et
plus	ADVgen	plus
estoit	VERcjg	estre
remese	VERppe	remanoir
sa	DETpos	son
barbe	NOMcom	barbe
qu'	CONsub	que
ele	PROper	il
ne	ADVneg	ne
fu	VERcjg	estre
rese	VERppe	raiser
-	PONfbl	-
.i	PROind	un
.	PONfrt	.

aguillon	NOMcom	aguillon
prist	VERcjg	prendre
en	PRE	en
sa	DETpos	son
main	NOMcom	main
por	PRE	por
ce	PROdem	ce
que	CONsub	que
miex	ADVgen	mieux
samblast	VERcjg	sembler
vilain	ADJqua	vilain
.	PONfrt	.

Une	DETndf	un
borse	NOMcom	borse
grant	ADJqua	grant
acheta	VERcjg	acheter
.	PONfrt	.

.XII	PROcar	douze
.	PONfrt	.

deniers	NOMcom	denier
dedenz	ADVgen	dedans
mis	VERppe	metre
a	PRE	a
que	CONsub	que
il	PROper	il
n'	ADVneg	ne
avoit	VERcjg	avoir
ne	CONcoo	ne
plus	ADVgen	plus
ne	CONcoo	ne
mains	ADVgen	moins
,	PONfbl	,
et	CONcoo	et
vint	VERcjg	venir
en	PRE	en
la	DETdef	le
rue	NOMcom	rue
aus	PRE.DETdef	à.le
putains	NOMcom	putain
tout	ADVgen	tout
droit	ADVgen	droit
devant	PRE	devant
l'	DETdef	le
ostel	NOMcom	ostel
Mabile	NOMpro	Mabile
qui	PROrel	que
plus	ADVgen	plus
savoit	VERcjg	savoir
barat	NOMcom	barat
et	CONcoo	et
guile	NOMcom	guile
que	CONsub	que
fame	NOMcom	feme
nule	ADJind	nul
qui	PROrel	que
i	PROadv	i
fust	VERcjg	estre
.	PONfrt	.

Iluec	ADVgen	iluec
s'	PROper	soi
assist	VERcjg	assëoir
desus	PRE	dessus
.i	PROind	un
.	PONfrt	.

fust	VERcjg	estre
qui	PROrel	que
estoit	VERcjg	estre
delez	PRE	dalez
sa	DETpos	son
meson	NOMcom	maison
.	PONfrt	.

Delez	PRE	dalez
lui	PROper	il
mist	VERcjg	mettre
son	DETpos	son
aguillon	NOMcom	aguillon
,	PONfbl	,
.i	PROind	un
.	PONfrt	.

poi	ADVgen	peu
torna	VERcjg	torner
son	DETpos	son
dos	NOMcom	dos
vers	PRE	vers
l'	DETdef	le
uis	NOMcom	uis
.	PONfrt	.

Huimés	ADVgen	ui
orrez	VERcjg	ouïr
que	PROrel	que
il	PROper	il
fist	VERcjg	faire
puis	ADVgen	puis
!	PONfrt	!

“	PONpga	“
Par	PRE	par
foi	NOMcom	foi
,	PONfbl	,
fet	VERcjg	faire
il	PROper	il
,	PONfbl	,
ce	PROdem	ce
est	VERcjg	estre
la	DETdef	le
voire	NOMcom	voire
,	PONfbl	,
puis	PRE	puis
que	CONsub	que
je	PROper	je
sui	VERcjg	estre
hors	ADVgen	hors
de	PRE	de
la	DETdef	le
foire	NOMcom	foire
et	CONcoo	et
en	PRE	en
bon	ADJqua	bon
leu	NOMcom	lieu
et	CONcoo	et
loing	ADVgen	loing
de	PRE	de
gent	NOMcom	gent
,	PONfbl	,
deüsse	VERcjg	devoir
bien	ADVgen	bien
de	PRE	de
mon	DETpos	mon
argent	NOMcom	argent
tout	ADVgen	tout
seul	ADJqua	sol
par	PRE	par
moi	PROper	je
savoir	VERinf	savoir
la	DETdef	le
somme	NOMcom	somme
.	PONfrt	.

Ainsi	ADVgen	ainsi
le	PROper	il
font	VERcjg	faire
tuit	DETind	tot
li	DETdef	le
sage	ADJqua	sage
homme	NOMcom	homme
.	PONfrt	.

J'	PROper	je
oi	VERcjg	avoir
de	PRE	de
Rouget	NOMpro	Rouget
.xxxix	PROcar	trente-neuf
.	PONfrt	.

saus	NOMcom	sou
.	PONfrt	.

.XII	PROcar	douze
.	PONfrt	.

deniers	NOMcom	denier
en	PROadv	en
ot	VERcjg	avoir
Giraus	NOMpro	Giraus
qui	PROrel	que
mes	ADVgen	mais
.ii	PROcar	deus
.	PONfrt	.

bues	NOMcom	bue
m'	PROper	je
aida	VERcjg	aider
a	PRE	a
vendre	VERinf	vendre
.	PONfrt	.

A	PRE	a
males	ADJqua	mal
forches	NOMcom	force
puist	VERcjg	pouvoir
il	PROper	il
pendre	VERinf	pendre
por	PRE	por
ce	PROdem	ce
qu'	CONsub	que
il	PROper	il
retint	VERcjg	retenir
mes	DETpos	mon
deniers	NOMcom	denier
!	PONfrt	!

.XII	PROcar	douze
.	PONfrt	.

en	PROadv	en
retint	VERcjg	retenir
li	DETdef	le
pautoniers	NOMcom	pautonier
et	CONcoo	et
se	ADVgen	si
li	PROper	il
ai	VERcjg	avoir
je	PROper	je
fet	VERppe	faire
maint	DETind	maint
bien	NOMcom	bien
!	PONfrt	!

Or	ADVgen	or
est	VERcjg	estre
ainsi	ADVgen	ainsi
,	PONfbl	,
ce	PROdem	ce
ne	ADVneg	ne
vaut	VERcjg	valoir
rien	PROind	rien
.	PONfrt	.

Il	PROper	il
me	PROper	je
vendra	VERcjg	venir
mes	DETpos	mon
bues	NOMcom	bue
requerre	VERinf	requerre
quant	CONsub	cant
il	PROper	il
voudra	VERcjg	vouloir
arer	VERinf	arer
sa	DETpos	son
terre	NOMcom	terre
et	CONcoo	et
il	PROper	il
devra	VERcjg	devoir
semer	VERinf	semer
son	DETpos	son
orge	NOMcom	orge
.	PONfrt	.

Mal	ADJqua	mal
dehez	NOMcom	dehé
ait	VERcjg	avoir
toute	DETind	tout
ma	DETpos	mon
gorge	NOMcom	gorge
s'	CONsub	se
il	PROper	il
a	VERcjg	avoir
jamés	ADVgen	jamais
de	PRE	de
moi	PROper	je
nul	DETind	nul
preu	NOMcom	pro
!	PONfrt	!

Je	PROper	je
li	PROper	il
cuit	VERcjg	cuidier
molt	ADVgen	moult
bien	ADVgen	bien
metre	VERinf	metre
en	PRE	en
leu	NOMcom	lieu
.	PONfrt	.

Honiz	VERppe	honir
soit	VERcjg	estre
il	PROper	il
et	CONcoo	et
toute	DETind	tout
s'	DETpos	son
aire	NOMcom	aire
!	PONfrt	!

Or	ADVgen	or
parlerai	VERcjg	parler
de	PRE	de
mon	DETpos	mon
afaire	NOMcom	afaire
.	PONfrt	.

J'	PROper	je
oi	VERcjg	avoir
de	PRE	de
Sorin	NOMpro	Sorin
.xix	PROcar	vingt-six
.	PONfrt	.

saus	NOMcom	sou
.	PONfrt	.

De	PRE	de
ceus	PROdem	cil
ne	ADVneg	ne
fui	VERcjg	estre
je	PROper	je
mie	ADVneg	mie
faus	ADJqua	faus
quar	CONcoo	car
mon	DETpos	mon
compere	NOMcom	comparer
dans	NOMcom	dan
Gantiers	NOMpro	Gantier
ne	ADVneg	ne
m'	PROper	je
en	PROadv	en
donast	VERcjg	doner
pas	ADVneg	pas
tant	ADVgen	tant
deniers	NOMcom	denier
com	CONsub	come
j'	PROper	je
ai	VERcjg	avoir
eü	VERppe	avoir
de	PRE	de
tout	DETind	tout
le	DETdef	le
mendre	NOMcom	menor
.	PONfrt	.

Por	PRE	por
ce	PROdem	ce
fet	VERcjg	faire
bon	ADJqua	bon
au	PRE.DETdef	a
marchié	NOMcom	marché
vendre	VERinf	vendre
!	PONfrt	!

Il	PROper	il
vousist	VERcjg	vouloir
ja	ADVgen	ja
creance	NOMcom	créance
avoir	VERinf	avoir
!	PONfrt	!

Et	CONcoo	et
j'	PROper	je
ai	VERcjg	avoir
assamblé	VERppe	assembler
mon	DETpos	mon
avoir	NOMcom	avoir
