AMI	NOMpro	Ami
ET	CONcoo	et
AMILE	NOMpro	Amille
Or	ADVgen	or
entendéz	VERcjg	entendre
,	PONfbl	,
seignor	NOMcom	seignor
gentil	ADJqua	gentil
baron	NOMcom	baron
,	PONfbl	,
Que	ADVint	que
Deus	NOMpro	Dieu
de	PRE	de
gloire	NOMcom	gloire
voz	PROper	vous
face	VERcjg	faire
vrai	ADJqua	vrai
pardon	NOMcom	pardon
.	PONfrt	.

De	PRE	de
tel	DETind	tel
barnaige	NOMcom	barnage
doit	VERcjg	devoir
on	PROind	on
dire	VERinf	dire
chanson	NOMcom	chanson
Que	CONsub	que
ne	ADVneg	ne
soit	VERcjg	estre
mie	ADVneg	mie
de	PRE	de
noient	PROind	néant
la	DETdef	le
raison	NOMcom	raison
.	PONfrt	.

Ce	PROdem	ce
n'	ADVneg	ne
est	VERcjg	estre
pas	ADVneg	pas
fable	NOMcom	fable
que	PROrel	que
dire	VERinf	dire
voz	PROper	vous
volons	VERcjg	vouloir
,	PONfbl	,
Ansoiz	ADVgen	ensois
est	VERcjg	estre
voirs	ADJqua	voir
autressi	ADVgen	autressi
com	CONsub	come
sermon	NOMcom	sermon
,	PONfbl	,
Car	CONcoo	car
plusors	DETind	plusor
gens	NOMcom	gens
a	PRE	a
tesmoing	NOMcom	tesmoin
en	PROadv	en
traionz	VERcjg	traire
,	PONfbl	,
Clers	NOMcom	clerc
et	CONcoo	et
prevoires	NOMcom	prévoire
,	PONfbl	,
gens	NOMcom	gens
de	PRE	de
religion	NOMcom	religion
.	PONfrt	.

Li	DETdef	le
pelerin	NOMcom	pèlerin
qui	PROrel	que
a	PRE	a
Saint	ADJqua	saint
Jaque	NOMpro	Jacque
vont	VERcjg	aler
Le	PROper	il
sevent	VERcjg	savoir
bien	ADVgen	bien
,	PONfbl	,
se	CONsub	se
ce	PROdem	ce
est	VERcjg	estre
voirs	ADJqua	voir
ou	CONcoo	o
non	ADVneg	non
.	PONfrt	.

Huimais	ADVgen	ui
orréz	VERcjg	ouïr
de	PRE	de
douz	DETcar	douze
bons	ADJqua	bon
compaingnons	NOMcom	compagnon
,	PONfbl	,
Ce	PROdem	ce
est	VERcjg	estre
d'	PRE	de
Amile	NOMpro	Amile
et	CONcoo	et
d'	PRE	de
Amis	NOMpro	ami
le	DETdef	le
baron	NOMcom	baron
.	PONfrt	.

Engendré	VERppe	engendrer
furent	VERcjg	estre
par	PRE	par
sainte	ADJqua	saint
annuncion	NOMcom	annoncïon
Et	CONcoo	et
en	PRE	en
un	DETndf	un
jor	NOMcom	jor
furent	VERcjg	estre
né	VERppe	naître
li	DETdef	le
baron	NOMcom	baron
.	PONfrt	.

A	PRE	a
Mortiers	NOMpro	Mortier
gisent	VERcjg	jesir
,	PONfbl	,
que	CONcoo	que
de	PRE	de
fi	NOMcom	fi
le	PROper	il
seit	VERcjg	être
on	PROind	on
.	PONfrt	.

Huimais	ADVgen	ui
orréz	VERcjg	ouïr
de	PRE	de
ces	DETdem	ce
douz	ADJcar	doux
compaingnons	NOMcom	compagnon
,	PONfbl	,
Com	CONsub	come
il	PROper	il
servirent	VERcjg	servir
a	PRE	a
Paris	NOMpro	Paris
a	PRE	a
Charlon	NOMpro	Charles
Par	PRE	par
lor	DETpos	lor
grant	ADJqua	grant
compaingnie	NOMcom	compagnie
.	PONfrt	.

Ansoiz	ADVgen	ensois
qu'	CONsub	que
Amiles	NOMpro	Amiles
et	CONcoo	et
Amis	NOMpro	ami
fussent	VERcjg	estre
né	VERppe	naître
,	PONfbl	,
Si	ADVgen	si
ot	VERcjg	avoir
uns	DETndf	un
angres	NOMcom	ange
de	PRE	de
par	PRE	par
Deu	NOMpro	Dieu
devisé	VERppe	deviser
La	DETdef	le
compaingnie	NOMcom	compagnie
par	PRE	par
moult	ADVgen	moult
grant	ADJqua	grant
loiauté	NOMcom	loyauté
.	PONfrt	.

En	PRE	en
une	DETndf	un
nuit	NOMcom	nuit
furent	VERcjg	estre
il	PROper	il
engendré	VERppe	engendrer
Et	CONcoo	et
en	PRE	en
un	DETndf	un
jor	NOMcom	jor
baptizié	VERppe	baptiser
et	CONcoo	et
levé	VERppe	lever
,	PONfbl	,
Et	CONcoo	et
lor	DETpos	lor
parrins	NOMcom	parrin
qui	PROrel	que
ot	VERcjg	avoir
non	NOMcom	nom
Yzoréz	NOMpro	Isoré
Fu	VERcjg	estre
apostoiles	NOMcom	apostole
de	PRE	de
Romme	NOMpro	Rome
la	DETdef	le
cité	NOMcom	cité
.	PONfrt	.

Ses	DETpos	son
parrinnaiges	NOMcom	parrinage
fist	VERcjg	faire
forment	ADVgen	fortement
a	PRE	a
loer	VERinf	löer
,	PONfbl	,
Or	NOMcom	or
et	CONcoo	et
argent	NOMcom	argent
lor	PROper	il
donna	VERcjg	donner
a	PRE	a
plenté	NOMcom	plenté
,	PONfbl	,
Tyres	NOMcom	tire
et	CONcoo	et
pailes	NOMcom	paile
des	PRE.DETdef	de.le
meillors	ADJqua	meilleur
d'	PRE	de
outre	PRE	outre
mer	NOMcom	mer
;	PONfbl	;
Et	CONcoo	et
a	PRE	a
chascun	PROind	chascun
fist	VERcjg	faire
un	DETndf	un
hannap	NOMcom	hanap
donner	VERinf	donner
Fait	VERppe	faire
a	PRE	a
mesure	NOMcom	mesure
,	PONfbl	,
et	CONcoo	et
tant	ADVgen	tant
font	VERcjg	faire
a	PRE	a
loer	VERinf	löer
Que	CONsub	que
en	PRE	en
un	DETndf	un
mosle	NOMcom	mosle
furent	VERcjg	estre
andui	PROcar	ambedos
ouvré	VERppe	oeuvrer
:	PONfbl	:
Dex	NOMpro	dieu
ne	ADVneg	ne
fist	VERcjg	faire
home	NOMcom	ome
qui	PROrel	que
de	PRE	de
mere	NOMcom	mere
soit	VERcjg	estre
nés	VERppe	naître
Qui	PROrel	que
le	DETdef	le
plus	ADVgen	plus
grant	ADJqua	grant
en	PROadv	en
seüst	VERcjg	savoir
deviser	VERinf	deviser
.	PONfrt	.

Amiles	NOMpro	Amiles
fu	VERcjg	estre
en	PRE	en
Berri	NOMpro	Berry
aportéz	VERppe	apporter
,	PONfbl	,
Li	DETdef	le
cuens	NOMcom	conte
Amis	NOMpro	ami
en	PRE	en
Auvergne	NOMpro	Auvergne
autretel	ADVgen	autretel
.	PONfrt	.

Puis	ADVgen	puis
ne	ADVneg	ne
se	PROper	soi
virent	VERcjg	voir
devant	PRE	devant
quinze	DETcar	quinze
ans	NOMcom	an
passéz	VERppe	passer
Tant	ADVgen	tant
que	CONsub	que
il	PROper	il
furent	VERcjg	estre
de	PRE	de
nouvel	ADJqua	nouveau
adoubé	VERppe	adouber
;	PONfbl	;
Li	DETdef	le
uns	PROind	un
de	PRE	de
l'	DETdef	le
autre	PROind	autre
oï	VERcjg	öir
souvent	ADVgen	souvent
parler	VERinf	parler
.	PONfrt	.
