ENEAS	ADVgen	ens
En	PRE	en
l'	DETdef	le
ost	NOMcom	ost
n'	ADVneg	ne
orent	VERcjg	avoir
pas	ADVneg	pas
lor	DETpos	lor
seignor	NOMcom	seignor
;	PONfbl	;
en	PRE	en
l'	DETdef	le
andemain	NOMcom	endemain
matin	NOMcom	matin
al	PRE.DETdef	à.le
jor	NOMcom	jor
li	PROper	il
conte	VERcjg	conter
et	CONcoo	et
li	DETdef	le
duc	NOMcom	duc
s'	PROper	soi
asenblerent	VERcjg	assembler
et	CONcoo	et
comunalment	ADVgen	communalement
esgarderent	VERcjg	esgarder
que	CONsub	que
a	PRE	a
Eneas	NOMpro	Eneas
anveiroient	VERcjg	envoiier
,	PONfbl	,
a	PRE	a
quinze	DETcar	quinze
dis	DETcar	dix
trives	NOMcom	trieue
prendroient	VERcjg	prendre
,	PONfbl	,
por	PRE	por
faire	VERinf	faire
les	DETdef	le
mors	NOMcom	mors
anterrer	VERinf	enterrer
et	CONcoo	et
les	DETdef	le
navrez	VERppe	navrer
medeciner	VERinf	medeciner
.	PONfrt	.

Torné	VERppe	torner
s'	PROper	soi
en	PROadv	en
sont	VERcjg	estre
li	DETdef	le
mesagier	NOMcom	messager
;	PONfbl	;
chascuns	PROind	chascun
tint	VERcjg	tenir
un	DETndf	un
raim	NOMcom	raim
d'	PRE	de
olivier	NOMcom	olivier
:	PONfbl	:
ce	PROdem	ce
estoit	VERcjg	estre
signe	NOMcom	signe
a	PRE	a
icel	DETdem	cil
jor	NOMcom	jor
de	PRE	de
pais	NOMcom	paix
,	PONfbl	,
d'	PRE	de
acorde	NOMcom	acorde
et	CONcoo	et
d'	PRE	de
amor	NOMcom	amor
.	PONfrt	.

Par	PRE	par
main	NOMcom	main
vindrent	VERcjg	venir
li	DETdef	le
mesagier	NOMcom	messager
a	PRE	a
Montauban	NOMpro	Montauban
;	PONfbl	;
n'	ADVneg	ne
i	PROadv	i
ot	VERcjg	avoir
portier	NOMcom	portier
qui	PROrel	que
lor	PROper	il
osast	VERcjg	oser
porte	NOMcom	porte
veer	VERinf	vëer
,	PONfbl	,
quant	CONsub	cant
lor	PROper	il
virent	VERcjg	voir
les	DETdef	le
rains	NOMcom	raim
porter	VERinf	porter
.	PONfrt	.

Sanz	PRE	sans
contredit	NOMcom	contredit
el	PRE.DETdef	en
chastel	NOMcom	chastel
vont	VERcjg	aler
,	PONfbl	,
desi	ADVgen	deci
que	CONsub	que
el	PROper	il
donjon	VERcjg	donger
amont	ADVgen	amont
,	PONfbl	,
iluec	ADVgen	illuec
ou	PROrel	où
Eneas	NOMpro	Eneas
estoit	VERcjg	estre
,	PONfbl	,
qui	PROrel	que
de	PRE	de
Pallas	NOMpro	Pallas
se	PROper	soi
complaignoit	VERcjg	complaindre
,	PONfbl	,
que	PROrel	que
il	PROper	il
avoit	VERcjg	avoir
si	ADVgen	si
tost	ADVgen	tost
perdu	VERppe	perdre
;	PONfbl	;
molt	ADVgen	moult
l'en	PROper	il
estoit	VERcjg	estre
mal	ADVgen	mal
avenu	VERppe	avenir
.	PONfrt	.

Li	DETdef	le
mesagier	NOMcom	messager
devant	PRE	devant
lui	PROper	il
vindrent	VERcjg	venir
,	PONfbl	,
les	DETdef	le
rains	NOMcom	raim
d'	PRE	de
olive	NOMcom	olive
en	PRE	en
lor	DETpos	lor
mains	NOMcom	main
tindrent	VERcjg	tenir
.	PONfrt	.

Aventinus	NOMpro	Aventinus
dist	VERcjg	dire
lo	DETdef	le
mesage	NOMcom	message
:	PONfbl	:
lui	PROper	il
an	PROadv	en
tenoient	VERcjg	tenir
a	PRE	a
plus	ADVgen	plus
sage	ADJqua	sage
.	PONfrt	.

“	PONpga	“
Sire	NOMcom	seignor
,	PONfbl	,
fait	VERcjg	faire
il	PROper	il
,	PONfbl	,
un	DETndf	un
po	PROind	poi
m'	PROper	je
antant	VERcjg	entendre
,	PONfbl	,
ge	PROper	je
te	PROper	tu
dirai	VERcjg	dire
asez	ADVgen	assez
briemant	ADVgen	briément
por	PRE	por
coi	PROrel	que
somes	VERcjg	estre
ici	ADVgen	ici
venu	VERppe	venir
:	PONfbl	:
nos	PROper	nos
nos	PROper	nos
somes	VERcjg	estre
molt	ADVgen	moult
combatu	VERppe	combattre
,	PONfbl	,
cest	DETdem	cest
chastel	NOMcom	chastel
avons	VERcjg	avoir
asailli	VERppe	assalir
,	PONfbl	,
au	PRE.DETdef	a
prendre	VERinf	prendre
avons	VERcjg	avoir
ancor	ADVgen	encore
failli	VERppe	falir
,	PONfbl	,
et	CONcoo	et
molt	ADVgen	moult
retornoiames	VERcjg	retourner
ier	ADVgen	ier
vers	PRE	vers
toi	PROper	tu
laüs	ADVgen	laus
an	PRE	en
ce	DETdem	ce
gravier	NOMcom	gravier
;	PONfbl	;
ou	CONcoo	o
fust	VERcjg	estre
a	PRE	a
droit	NOMcom	droit
ou	CONcoo	o
fust	VERcjg	estre
a	PRE	a
tort	NOMcom	tort
,	PONfbl	,
de	PRE	de
nostre	DETpos	notre
gent	NOMcom	gent
i	PROadv	i
ot	VERcjg	avoir
molt	ADVgen	moult
mort	VERppe	mourir
,	PONfbl	,
et	CONcoo	et
molt	ADVgen	moult
des	PRE.DETdef	de.le
tuens	PROpos	ton
et	CONcoo	et
molt	ADVgen	moult
des	PRE.DETdef	de.le
noz	PROpos	notre
;	PONfbl	;
Turnus	NOMpro	Turnus
,	PONfbl	,
qui	PROrel	que
asanbla	VERcjg	assembler
les	DETdef	le
oz	NOMcom	ost
et	CONcoo	et
manda	VERcjg	mander
gent	NOMcom	gent
d'	PRE	de
autre	DETind	autre
païs	NOMcom	päis
,	PONfbl	,
nos	PROper	nos
ne	ADVneg	ne
savons	VERcjg	savoir
s'	PROper	soi
est	VERcjg	estre
morz	VERppe	morir
ou	CONcoo	o
vis	ADJqua	vif
.	PONfrt	.

Tuit	DETind	tous
li	DETdef	le
baron	NOMcom	baron
qui	PROrel	que
lafors	ADVgen	lafors
sont	VERcjg	estre
comunalment	ADVgen	communalement
parlé	VERppe	parler
an	PROadv	en
ont	VERcjg	avoir
et	CONcoo	et
nos	PROper	nos
an	PROadv	en
ont	VERcjg	avoir
a	PRE	a
toi	PROper	tu
tramis	VERppe	tramettre
,	PONfbl	,
que	CONcoo	que
trives	NOMcom	trieue
doignes	VERcjg	doner
quinze	DETcar	quinze
dis	NOMcom	di
,	PONfbl	,
se	ADVgen	si
ferons	VERcjg	faire
noz	DETpos	notre
morz	NOMcom	mort
sevelir	VERinf	sevelir
,	PONfbl	,
ardoir	VERinf	ardre
an	PRE	en
rez	NOMcom	ré
et	CONcoo	et
anfoïr	VERinf	enföir
;	PONfbl	;
nes	ADVneg.PROper	ne
devons	VERcjg	devoir
pas	ADVneg	pas
laissier	VERinf	laisser
sor	PRE	sor
terre	NOMcom	terre
,	PONfbl	,
as	PRE.DETdef	à.le
morz	NOMcom	mort
ne	ADVneg	ne
doit	VERcjg	devoir
an	PROind	on
fere	VERinf	faire
guerre	NOMcom	guerre
.	PONfrt	.

Se	CONsub	se
antretant	ADVgen	entretant
ne	ADVneg	ne
vient	VERcjg	venir
Turnus	NOMpro	Turnus
,	PONfbl	,
fins	NOMcom	fin
est	VERcjg	estre
de	PRE	de
lui	PROper	il
,	PONfbl	,
ge	PROper	je
n'	ADVneg	ne
en	PROadv	en
sai	VERcjg	savoir
plus	ADVgen	plus
,	PONfbl	,
et	CONcoo	et
s'	CONsub	se
il	PROper	il
ne	ADVneg	ne
repaire	VERcjg	repairier
ja	ADVgen	ja
mes	ADVgen	mais
,	PONfbl	,
de	PRE	de
nos	PROper	nos
avras	VERcjg	avoir
tu	PROper	tu
bele	ADJqua	bel
pes	NOMcom	pais
.	PONfrt	.

A	PRE	a
ués	NOMcom	ues
les	DETdef	le
morz	NOMcom	mort
vos	PROper	vos
querons	VERcjg	quérir
trives	NOMcom	trieue
,	PONfbl	,
il	PROimp	il
est	VERcjg	estre
bien	ADVgen	bien
droiz	ADJqua	droit
que	CONsub	que
tu	PROper	tu
les	PROper	il
sives	VERcjg	sivre
;	PONfbl	;
des	PRE.DETdef	de.le
tuens	PROpos	ton
anterrer	VERinf	enterrer
pren	VERcjg	prendre
conroi	NOMcom	conroi
,	PONfbl	,
qui	PROrel	que
lafors	ADVgen	lafors
gisent	VERcjg	jesir
mort	VERppe	mourir
por	PRE	por
toi	PROper	tu
.	PONfrt	.

Nos	PROper	nos
t'	PROper	tu
otroions	VERcjg	otroiier
trestot	ADVgen	trestot
a	PRE	a
chois	NOMcom	choix
la	DETdef	le
busche	NOMcom	busche
as	PRE.DETdef	à.le
rez	NOMcom	ré
par	PRE	par
toz	DETind	tot
noz	DETpos	notre
bois	NOMcom	bois
,	PONfbl	,
et	CONcoo	et
tot	PROind	tot
aillent	VERcjg	aler
seüremant	ADVgen	sëurement
li	DETdef	le
tuen	PROpos	ton
as	PRE.DETdef	à.le
noz	PROpos	notre
comunemant	ADVgen	comunement
.	PONfbl	.
”	PONpdr	”
Eneas	NOMpro	Eneas
l'	PROper	il
ot	VERcjg	avoir
,	PONfbl	,
un	DETndf	un
po	PROind	poi
sosrist	VERcjg	sordre
,	PONfbl	,
as	PRE.DETdef	à.le
mesages	NOMcom	message
an	PRE	en
aprés	ADVgen	après
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Vos	PROper	vos
requerez	VERcjg	requerre
trives	NOMcom	trieue
as	PRE.DETdef	à.le
morz	NOMcom	mort
;	PONfbl	;
ne	ADVneg	ne
voil	VERcjg	vouloir
que	CONsub	que
nostre	DETpos	notre
an	NOMcom	an
soit	VERcjg	estre
li	DETdef	le
torz	NOMcom	tort
,	PONfbl	,
nos	PROper	nos
les	PROper	il
donrïens	VERcjg	donner
bien	ADVgen	bien
as	PRE.DETdef	à.le
vis	NOMcom	vis
,	PONfbl	,
se	CONsub	se
il	PROper	il
voloient	VERcjg	voloir
,	PONfbl	,
a	PRE	a
toz	DETind	tot
dis	NOMcom	di
;	PONfbl	;
ne	ADVneg	ne
vos	PROper	vos
vanroit	VERcjg	venir
ja	ADVgen	ja
por	PRE	por
nos	DETpos	notre
maus	NOMcom	mal
;	PONfbl	;
nos	PROper	nos
vos	PROper	vos
donons	VERcjg	donner
trives	NOMcom	trieue
leaus	ADJqua	lëal
.	PONfbl	.
”	PONpdr	”
D'	PRE	de
anbedous	DETcar	ambedeux
parz	NOMcom	part
les	PROper	il
afïerent	VERcjg	afïer
.	PONfrt	.

Li	DETdef	le
mesage	NOMcom	message
s'	PROper	soi
an	PROadv	en
retornerent	VERcjg	retourner
,	PONfbl	,
an	PRE	en
l'	DETdef	le
ost	NOMcom	ost
dïent	VERcjg	dire
qu'	CONsub	que
il	PROper	il
ont	VERcjg	avoir
trové	VERppe	trover
,	PONfbl	,
que	PROrel	que
les	DETdef	le
trives	NOMcom	trieue
ont	VERcjg	avoir
afïé	VERppe	afïer
,	PONfbl	,
et	CONcoo	et
font	VERcjg	faire
banir	VERinf	banir
par	PRE	par
tote	DETind	tot
l'	DETdef	le
ost	NOMcom	ost
que	CONsub	que
il	PROper	il
facent	VERcjg	faire
les	DETdef	le
rez	NOMcom	ré
molt	ADVgen	moult
tost	ADVgen	tost
,	PONfbl	,
tuit	DETind	tot
li	DETdef	le
mort	NOMcom	mort
soient	VERcjg	estre
aporté	VERppe	aporter
,	PONfbl	,
si	ADVgen	si
seront	VERcjg	estre
ars	VERppe	ardre
et	CONcoo	et
anterré	VERppe	enterrer
.	PONfrt	.

Des	ADVgen	des
que	CONsub	que
il	PROper	il
fu	VERcjg	estre
par	PRE	par
l'	DETdef	le
ost	NOMcom	ost
noncié	VERppe	noncer
,	PONfbl	,
ne	ADVneg	ne
se	PROper	soi
sont	VERcjg	estre
plus	ADVgen	plus
rien	PROind	rien
atardié	VERppe	atarder
;	PONfbl	;
li	DETdef	le
un	PROind	un
se	PROper	soi
hastent	VERcjg	hâter
des	PRE.DETdef	de.le
rez	NOMcom	ré
faire	VERinf	faire
et	CONcoo	et
li	DETdef	le
autre	PROind	autre
de	PRE	de
busche	NOMcom	busche
atraire	VERinf	attraire
,	PONfbl	,
et	CONcoo	et
li	DETdef	le
autre	PROind	autre
vont	VERcjg	aler
por	PRE	por
les	DETdef	le
morz	NOMcom	mort
,	PONfbl	,
tuit	PROind	tot
i	PROadv	i
ovrent	VERcjg	œuvrer
a	PRE	a
grant	ADJqua	grant
esforz	NOMcom	effort
.	PONfrt	.

Dis	DETcar	dix
mil	PROcar	mille
an	PROadv	en
aportent	VERcjg	apporter
o	PRE	o
charz	NOMcom	char
,	PONfbl	,
es	PRE.DETdef	en.le
rez	NOMcom	ré
les	PROper	il
metent	VERcjg	metre
,	PONfbl	,
ses	ADVgen.PROper	si
ont	VERcjg	avoir
arz	VERppe	ardre
,	PONfbl	,
la	DETdef	le
poldre	NOMcom	poudre
an	PROadv	en
est	VERcjg	estre
an	PRE	en
terre	NOMcom	terre
mise	VERppe	metre
a	PRE	a
la	DETdef	le
lor	ADJpos	leur
loi	NOMcom	loi
et	CONcoo	et
a	PRE	a
lor	DETpos	lor
guise	NOMcom	guise
.	PONfrt	.

Cil	PROdem	cel
del	PRE.DETdef	de
chastel	NOMcom	chastel
font	VERcjg	faire
ansement	ADVgen	ensement
,	PONfbl	,
tranchent	VERcjg	trenchier
lo	DETdef	le
bois	NOMcom	bois
comunement	ADVgen	communément
,	PONfbl	,
portent	VERcjg	porter
les	DETdef	le
morz	NOMcom	mort
et	CONcoo	et
font	VERcjg	faire
lor	DETpos	lor
rez	NOMcom	ré
;	PONfbl	;
il	PROper	il
les	PROper	il
ont	VERcjg	avoir
ars	VERppe	ardre
et	CONcoo	et
anterrez	VERppe	enterrer
,	PONfbl	,
et	CONcoo	et
molt	ADVgen	moult
i	PROadv	i
firent	VERcjg	faire
grant	ADJqua	grant
servise	NOMcom	servise
a	PRE	a
la	DETdef	le
lor	ADJpos	leur
loi	NOMcom	loi
et	CONcoo	et
a	PRE	a
lor	DETpos	lor
guise	NOMcom	guise
;	PONfbl	;
