Quel	DETrel	quel
part	NOMcom	part
que	PROrel	que
Bos	NOMpro	Bos
irra	VERcjg	aller
irrunt	VERcjg	aller
.	PONfrt	.

Quant	CONsub	quand
Bos	NOMpro	Bos
ot	VERcjg	avoir
od	PRE	o
sei	PROper	soi
ces	PROdem	ce
qu'	PROrel	que
il	PROper	il
volt	VERcjg	vouloir
,	PONfbl	,
E	CONcoo	et
espié	VERppe	espiet
e	CONcoo	et
veü	VERppe	vëoir
ot	VERcjg	avoir
Liquels	PROrel	lequel
Petreïus	NOMpro	Pétreïus
esteit	VERcjg	être
Ki	PROrel	qui
tuz	DETind	tous
les	DETdef	le
altres	PROind	autre
mainteneit	VERcjg	maintenir
,	PONfbl	,
Cele	DETdem	cel
part	NOMcom	part
puinst	VERcjg	poindre
mult	ADVgen	moult
fierement	ADVgen	fièrement
E	CONcoo	et
li	DETdef	le
altre	PROind	autre
comunement	ADVgen	communément
.	PONfrt	.

Unkes	ADVgen	onques
ne	ADVneg	ne
pristrent	VERcjg	prendre
fin	NOMcom	fin
ne	ADVneg	ne
cesse	VERcjg	cesser
Dissi	ADVgen	deci
qu'	CONsub	que
il	PROper	il
vindrent	VERcjg	venir
en	PRE	en
la	DETdef	le
presse	NOMcom	presse
U	PROrel	où
Petreïus	NOMpro	Pétreïus
chevalchot	VERcjg	chevaucher
Ki	PROrel	qui
les	DETdef	le
meisnies	NOMcom	maisnie
guvernot	VERcjg	gouverner
.	PONfrt	.

Bos	NOMpro	Bos
le	PROper	il
cunut	VERcjg	connaître
,	PONfbl	,
juste	PRE	jouxte
lui	PROper	il
puinst	VERcjg	poindre
,	PONfbl	,
Lur	DETpos	leur
dous	ADJcar	deux
chevals	NOMcom	cheval
ensemble	ADVgen	ensemble
joinst	VERcjg	joindre
,	PONfbl	,
Les	DETdef	le
braz	NOMcom	braz
geta	VERcjg	jeter
si	ADVgen	si
l'	PROper	il
enbraça	VERcjg	embrasser
;	PONfbl	;
En	PRE	en
sa	DETpos	son
cumpaigne	NOMcom	compagne
se	PROper	soi
fia	VERcjg	fier
,	PONfbl	,
De	PRE	de
sun	DETpos	son
