“	PONpga	“
Se	CONsub	se
prenz	VERcjg	prendre
od	PRE	o
tei	PROper	toi
les	DETdef	le
treis	ADJcar	trois
enfanz	NOMcom	enfant
Ne	ADVneg	ne
te	PROper	tu
serrad	VERcjg	être
li	DETdef	le
fais	NOMcom	faix
pesanz	VERppa	peser
.	PONfbl	.
”	PONpdr	”
Trestot	DETind	trestot
l'	DETdef	le
engin	NOMcom	engin
li	PROper	il
ad	VERcjg	avoir
mostréd	VERppe	montrer
E	CONcoo	et
par	PRE	par
parole	NOMcom	parole
devisét	VERppe	deviser
,	PONfbl	,
E	CONcoo	et
al	PRE.DETdef	à.le
partyr	VERinf	partir
si	ADVgen	si
li	PROper	il
recorde	VERcjg	recorder
Com	CONsub	come
fermer	VERinf	fermer
deit	VERcjg	devoir
chascune	DETind	chascun
corde	NOMcom	corde
.	PONfrt	.

Quant	CONsub	quand
l'	DETdef	le
albe	NOMcom	aube
pert	VERcjg	perdre
et	CONcoo	et
cil	PROdem	cel
s'	PROper	soi
esveille	VERcjg	éveiller
,	PONfbl	,
Vient	VERcjg	venir
al	PRE.DETdef	à.le
enging	NOMcom	engin
,	PONfbl	,
sil	ADVgen.PROper	si.le
appareille	VERcjg	appareiller
;	PONfbl	;
Comencier	VERinf	commencer
vait	VERcjg	aller
a	PRE	a
grant	ADJqua	grant
esspleit	NOMcom	exploit
Ceo	PROdem	ce
que	PROrel	que
comandét	VERppe	commander
li	PROper	il
esteit	VERcjg	être
:	PONfbl	:
Les	DETdef	le
cordes	NOMcom	corde
freme	VERcjg	fermer
et	CONcoo	et
les	DETdef	le
fuz	NOMcom	fût
dole	ADJqua	dol
,	PONfbl	,
Puis	ADVgen	puis
prent	VERcjg	prendre
treis	DETcar	trois
clergonez	NOMcom	clergonet
d'	PRE	de
escole	NOMcom	escole
,	PONfbl	,
As	PRE.DETdef	a
granz	ADJqua	grant
columbes	NOMcom	colombe
les	PROper	il
ajoste	VERcjg	ajoster
Dont	PROrel	dont
la	DETdef	le
pesors	NOMcom	pesor
point	ADVneg	point
ne	ADVneg	ne
lor	PROper	il
coste	VERcjg	coster
.	PONfrt	.

Il	PROper	il
sachent	VERcjg	savoir
sus	PRE	sus
la	DETdef	le
pesantume	NOMcom	pesentume
:	PONfbl	:
Ne	ADVneg	ne
lor	PROper	il
costat	VERcjg	coster
que	ADVgen	que
une	DETndf	un
plume	NOMcom	plume
.	PONfrt	.

Les	DETdef	le
pilers	NOMcom	pilier
mettent	VERcjg	mettre
en	PRE	en
estant	VERppa	être
Ki	PROrel	qui
sunt	VERcjg	être
de	PRE	de
marbre	NOMcom	marbre
ahoege	ADJqua	aouége
et	CONcoo	et
grant	ADJqua	grant
