¶	ADJcar	¶
Des	PRE.DETdef	de
.iii	PROcar	trois
.	PONfrt	.

boçus	ADJqua	boçus
Seignor	NOMcom	seignor
,	PONfbl	,
se	CONsub	se
vous	PROper	vous
volez	VERcjg	voloir
atendre	VERinf	atendre
et	CONcoo	et
.i	PROind	un
.	PONfrt	.

seul	ADJqua	sol
petitet	ADJqua	petitet
entendre	VERinf	entendre
,	PONfbl	,
ja	ADVgen	ja
de	PRE	de
mot	NOMcom	mot
ne	ADVneg	ne
vous	PROper	vous
mentirai	VERcjg	mentir
,	PONfbl	,
mes	CONcoo	mais
tout	ADVgen	tout
en	PRE	en
rime	NOMcom	rime
vous	PROper	vous
dirai	VERcjg	dire
d'	PRE	de
une	DETndf	un
aventure	NOMcom	aventure
le	DETdef	le
fablel	NOMcom	fablel
.	PONfrt	.

Jadis	ADVgen	jadis
avint	VERcjg	advenir
a	PRE	a
.i	PROcar	un
.	PONfrt	.

chastel	NOMcom	chastel
,	PONfbl	,
mes	CONcoo	mais
le	DETdef	le
non	NOMcom	nom
oublié	VERppe	oublier
en	PROadv	en
ai	VERcjg	avoir
.	PONfrt	.

Or	ADVgen	or
soit	VERcjg	estre
aussi	ADVgen	aussi
commë	CONsub	comme
a	PRE	a
Douay	NOMpro	Douay
.	PONfrt	.

.I	PROcar	un
.	PONfrt	.

borgois	NOMcom	bourgeois
i	PROadv	i
avoit	VERcjg	avoir
manant	NOMcom	manant
qui	PROrel	que
du	PRE.DETdef	de.le
sien	PROpos	sien
vivoit	VERcjg	vivre
belemant	ADVgen	belement
:	PONfbl	:
biaus	ADJqua	bel
hom	NOMcom	homme
ert	VERcjg	être
et	CONcoo	et
de	PRE	de
bons	ADJqua	bon
amis	NOMcom	ami
,	PONfbl	,
des	PRE.DETdef	de.le
borgois	NOMcom	bourgeois
toz	DETind	tot
li	DETdef	le
plus	ADVgen	plus
eslis	VERppe	élire
,	PONfbl	,
mes	CONcoo	mais
n'	ADVneg	ne
avoit	VERcjg	avoir
mie	ADVneg	mie
grant	ADJqua	grant
avoir	VERinf	avoir
,	PONfbl	,
si	ADVgen	si
s'	PROper	soi
en	PROadv	en
savoit	VERcjg	savoir
si	ADVgen	si
bien	ADVgen	bien
avoir	VERinf	avoir
que	CONsub	que
molt	ADVgen	moult
ert	VERcjg	être
creüz	VERppe	croire
par	PRE	par
la	DETdef	le
vile	NOMcom	vile
.	PONfrt	.

Il	PROper	il
avoit	VERcjg	avoir
une	DETndf	un
bele	ADJqua	bel
fille	NOMcom	fille
,	PONfbl	,
si	ADVgen	si
bele	ADJqua	bel
que	CONsub	que
c'	PROdem	ce
ert	VERcjg	être
uns	DETndf	un
delis	NOMcom	délis
,	PONfbl	,
et	CONcoo	et
se	CONsub	se
le	DETdef	le
voir	NOMcom	voir
vous	PROper	vous
en	PROadv	en
devis	VERcjg	deviser
,	PONfbl	,
je	PROper	je
ne	ADVneg	ne
cuit	VERcjg	cuidier
qu'	CONsub	que
ainz	ADVgen	ainz
feïst	VERcjg	faire
Nature	NOMcom	nature
nule	DETind	nul
plus	ADVgen	plus
bele	ADJqua	bel
creature	NOMcom	créature
.	PONfrt	.

De	PRE	de
sa	DETpos	son
biauté	NOMcom	biauté
n'	ADVneg	ne
ai	VERcjg	avoir
or	NOMcom	or
que	PROrel	que
fere	VERinf	faire
a	PRE	a
raconter	VERinf	raconter
ne	CONcoo	ne
a	PRE	a
retrere	VERinf	retraire
quar	CONcoo	car
se	CONsub	se
je	PROper	je
mesler	VERinf	mesler
m'	PROper	je
en	PROadv	en
voloie	VERcjg	voloir
,	PONfbl	,
assez	ADVgen	assez
tost	ADVgen	tost
mesprendre	VERinf	méprendre
i	PROadv	i
porroie	VERcjg	pöoir
,	PONfbl	,
si	ADVgen	si
m'	PROper	je
en	PROadv	en
vient	VERcjg	venir
miex	ADVgen	mieux
tere	VERinf	taire
orendroit	ADVgen	orendroit
que	CONsub	que
dire	VERinf	dire
chose	NOMcom	chose
qui	PROrel	que
n'	ADVneg	ne
i	PROadv	i
soit	VERcjg	estre
.	PONfrt	.

En	PRE	en
la	DETdef	le
vile	NOMcom	vile
avoit	VERcjg	avoir
.i	PROcar	un
.	PONfrt	.

boçu	ADJqua	boçu
.	PONfrt	.

Onques	ADVgen	onque
ne	ADVneg	ne
vi	VERcjg	vëoir
si	ADVgen	si
malostru	VERppe	malotrer
!	PONfrt	!

De	PRE	de
teste	NOMcom	teste
estoit	VERcjg	estre
molt	ADVgen	moult
bien	ADVgen	bien
garnis	VERppe	garnir
!	PONfrt	!

Je	PROper	je
cuit	VERcjg	cuidier
bien	ADVgen	bien
que	CONsub	que
Nature	NOMcom	nature
ot	VERcjg	avoir
mis	VERppe	metre
grant	ADJqua	grant
entencïon	NOMcom	entention
a	PRE	a
lui	PROper	il
fere	VERinf	faire
:	PONfbl	:
a	PRE	a
toute	DETind	tout
riens	NOMcom	rien
estoit	VERcjg	estre
contrere	ADJqua	contraire
!	PONfrt	!

Trop	ADVgen	trop
estoit	VERcjg	estre
de	PRE	de
laide	ADJqua	lait
faiture	NOMcom	faiture
.	PONfrt	.

Grant	ADJqua	grant
teste	NOMcom	teste
avoit	VERcjg	avoir
et	CONcoo	et
laide	ADJqua	lait
hure	NOMcom	heure
,	PONfbl	,
cort	ADJqua	cort
col	NOMcom	col
et	CONcoo	et
les	DETdef	le
espaules	NOMcom	espaule
lees	ADJqua	lé
,	PONfbl	,
et	CONcoo	et
les	PROper	il
avoit	VERcjg	avoir
haut	ADVgen	haut
encroees	VERppe	encrouer
.	PONfrt	.

De	PRE	de
folie	NOMcom	folie
se	PROper	soi
peneroit	VERcjg	pener
qui	PROrel	que
tout	PROind	tout
raconter	VERinf	raconter
vous	PROper	vous
voudroit	VERcjg	vouloir
sa	DETpos	son
façon	NOMcom	façon
.	PONfrt	.

Trop	ADVgen	trop
par	ADVgen	par
estoit	VERcjg	estre
lais	ADJqua	lai
!	PONfrt	!

Toute	DETind	tout
sa	DETpos	son
vie	NOMcom	vie
fu	VERcjg	estre
entais	ADJqua	entai
a	PRE	a
grant	ADJqua	grant
avoir	VERinf	avoir
amonceler	VERinf	admonceler
.	PONfrt	.

Por	PRE	por
voir	NOMcom	voir
vous	PROper	vous
puis	VERcjg	pöoir
dire	VERinf	dire
et	CONcoo	et
conter	VERinf	conter
trop	ADVgen	trop
estoit	VERcjg	estre
riches	ADJqua	riche
durement	ADVgen	durement
.	PONfrt	.

Se	CONsub	se
li	DETdef	le
aventure	NOMcom	aventure
ne	ADVneg	ne
ment	VERcjg	mentir
,	PONfbl	,
en	PRE	en
la	DETdef	le
vile	NOMcom	vile
n'	ADVneg	ne
ot	VERcjg	avoir
si	ADVgen	si
riche	ADJqua	riche
homme	NOMcom	homme
.	PONfrt	.

Que	PROint	que
vous	PROper	vous
diroie	VERcjg	dire
?	PONfrt	?

C'	PROdem	ce
est	VERcjg	estre
la	DETdef	le
somme	NOMcom	somme
du	PRE.DETdef	de.le
boçu	NOMcom	boçu
comment	ADVsub	comment
a	VERcjg	avoir
ouvré	VERppe	oeuvrer
.	PONfrt	.

Por	PRE	por
l'	DETdef	le
avoir	VERinf	avoir
qu'	PROrel	que
il	PROper	il
ot	VERcjg	avoir
amassé	VERppe	amasser
li	PROper	il
ont	VERcjg	avoir
donee	VERppe	doner
la	DETdef	le
pucele	NOMcom	pucele
si	DETpos	son
ami	NOMcom	ami
,	PONfbl	,
qui	PROrel	que
tant	ADVgen	tant
estoit	VERcjg	estre
bele	ADJqua	bel
,	PONfbl	,
