¶	ADJcar	¶
Du	PRE.DETdef	de.le
chevalier	NOMcom	chevalier
qui	PROrel	que
fist	VERcjg	faire
sa	DETpos	son
fame	NOMcom	feme
confesse	ADJqua	confès
En	PRE	en
Beesin	NOMpro	Besin
molt	ADVgen	moult
pres	ADVgen	près
de	PRE	de
Vire	NOMcom	vire
,	PONfbl	,
une	DETndf	un
merveille	NOMcom	merveille
j'	PROper	je
oï	VERcjg	öir
dire	VERinf	dire
d'	PRE	de
un	DETndf	un
chevalier	NOMcom	chevalier
et	CONcoo	et
de	PRE	de
sa	DETpos	son
fame	NOMcom	feme
qui	PROrel	que
molt	ADVgen	moult
estoit	VERcjg	estre
cortoise	ADJqua	cortois
fame	NOMcom	feme
et	CONcoo	et
molt	ADVgen	moult
proisie	VERppe	proisser
en	PRE	en
sa	DETpos	son
contree	NOMcom	contree
:	PONfbl	:
a	PRE	a
la	DETdef	le
meillor	ADJqua	meillor
estoit	VERcjg	estre
contee	VERppe	conter
.	PONfrt	.

Et	CONcoo	et
li	DETdef	le
sires	NOMcom	seignor
tant	ADVgen	tant
se	PROper	soi
fïoit	VERcjg	fier
en	PRE	en
sa	DETpos	son
moillier	NOMcom	moillier
et	CONcoo	et
tant	ADVgen	tant
l'	PROper	il
amoit	VERcjg	amer
que	CONsub	que
de	PRE	de
rien	PROind	rien
cure	NOMcom	cure
ne	ADVneg	ne
prenoit	VERcjg	prendre
.	PONfrt	.

Tout	ADVgen	tout
li	PROper	il
ert	VERcjg	être
bon	ADJqua	bon
quanques	PROrel	cant
fesoit	VERcjg	faire
,	PONfbl	,
que	CONsub	que
ja	ADVgen	ja
nule	DETind	nul
riens	NOMcom	rien
ne	ADVneg	ne
feïst	VERcjg	faire
se	CONsub	se
il	PROper	il
seüst	VERcjg	savoir
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
vousist	VERcjg	vouloir
.	PONfrt	.

Ainsi	ADVgen	ainsi
vesquirent	VERcjg	vivre
longuement	ADVgen	longuement
,	PONfbl	,
qu'	CONsub	que
entr'	PRE	entre
eus	PROper	eux
n'	ADVneg	ne
ot	VERcjg	avoir
point	ADVneg	point
de	PRE	de
mautalent	NOMcom	maltalent
fors	ADVgen	fors
tant	ADVgen	tant
,	PONfbl	,
ne	ADVneg	ne
