Philippe	NOMpro	Philippe
de	PRE	de
Thaün	NOMpro	Thaon
Ad	VERcjg	avoir
fait	VERppe	faire
une	DETndf	un
raisun	NOMcom	raison
Pur	PRE	pour
pruveires	NOMcom	prouvoire
guarnir	VERinf	garnir
De	PRE	de
la	DETdef	le
lei	NOMcom	loi
maintenir	VERinf	maintenir
.	PONfrt	.

A	PRE	a
sun	DETpos	son
uncle	NOMcom	oncle
l'	PROper	il
enveiet	VERcjg	envoyer
,	PONfbl	,
Quë	CONsub	que
amender	VERinf	amender
la	PROper	il
deiet	VERcjg	devoir
Si	CONsub	si
rien	PROind	rien
i	PROadv	i
ad	VERcjg	avoir
mesdit	VERppe	mesdire
Ne	CONcoo	ne
en	PRE	en
fait	NOMcom	fait
ne	CONcoo	ne
en	PRE	en
escrit	NOMcom	écrit
A	PRE	a
Unfrei	NOMpro	onfroi
de	PRE	de
Thaün	NOMpro	Thaon
,	PONfbl	,
Le	DETdef	le
chapelein	NOMcom	chapelain
Yhun	NOMpro	Ihon
E	CONcoo	et
seneschal	NOMcom	seneschal
lu	DETdef	le
rei	NOMcom	roi
.	PONfrt	.

Icho	PROdem	ce
vus	PROper	vous
di	VERcjg	dire
par	PRE	par
mei	PROper	moi
:	PONfbl	:
Salus	NOMcom	salut
ad	VERcjg	avoir
Patrem	ETR	patre
Or	ADVgen	or
oëz	VERcjg	ouïr
son	DETpos	son
sermun	NOMcom	sermon
Cum	CONsub	comme
le	PROper	il
met	VERcjg	metre
a	PRE	a
raisun	NOMcom	raison
,	PONfbl	,
E	CONcoo	et
cil	DETdem	cil
Deus	NOMpro	Dieu
chi	PROrel	qui
tut	PROind	tout
fist	VERcjg	faire
E	CONcoo	et
chi	PROrel	qui
tuz	DETind	tous
jurz	NOMcom	jour
veir	ADJqua	vair
dist	VERcjg	dire
,	PONfbl	,
Quë	CONsub	que
ele	PROper	il
ne	ADVneg	ne
fait	VERcjg	faire
ren	PROind	ron
U	PROrel	où
tuz	DETind	tous
jurz	NOMcom	jour
në	ADVneg	ne
ait	VERcjg	avoir
ben	ADVgen	bien
,	PONfbl	,
Ne	ADVneg	ne
li	PROper	il
seit	VERcjg	être
purluinnee	VERppe	pourlonner
La	DETdef	le
joie	NOMcom	joie
aparaillee	VERppe	appareiller
.	PONfrt	.

Maistre	NOMcom	maître
,	PONfbl	,
un	DETndf	un
livre	NOMcom	livre
voil	VERcjg	vouloir
faire	VERinf	faire
,	PONfbl	,
