Cy	ADVgen	ci
comence	VERcjg	commencer
un	DETndf	un
petit	ADJqua	petit
livre	NOMcom	livre
pour	PRE	pour
enseigner	VERinf	enseigner
les	DETdef	le
enfantz	NOMcom	enfant
de	PRE	de
leur	PROper	leur
entreparler	VERinf	entreparler
comun	ADJqua	commun
françois	NOMcom	français
.	PONfrt	.

Pour	PRE	pour
ce	PROdem	ce
sçachez	VERcjg	sacher
primierement	ADVgen	primièrement
que	CONsub	que
le	DETdef	le
an	NOMcom	an
est	VERcjg	estre
divisé	VERppe	diviser
en	PRE	en
deux	PROcar	deux
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
assçavoir	VERinf	assavoir
le	DETdef	le
yver	NOMcom	iver
et	CONcoo	et
la	DETdef	le
esté	NOMcom	esté
.	PONfrt	.

Le	DETdef	le
yver	NOMcom	iver
a	PRE	a
six	DETcar	six
mois	NOMcom	mois
et	CONcoo	et
la	DETdef	le
esté	NOMcom	esté
atant	ADVgen	atant
,	PONfbl	,
que	PROrel	que
vallent	VERcjg	valoir
douse	PROcar	deux
.	PONfrt	.

Et	CONcoo	et
ces	PROdem	ce
sont	VERcjg	estre
ces	PROdem	ce
:	PONfbl	:
march	NOMcom	mars
,	PONfbl	,
april	NOMcom	april
et	CONcoo	et
may	NOMcom	mai
sont	VERcjg	estre
le	DETdef	le
primier	ADJord	primier
quarter	NOMcom	quartier
de	PRE	de
l'	DETdef	le
an	NOMcom	an
;	PONfbl	;
jun	NOMcom	juin
,	PONfbl	,
julet	NOMcom	julet
et	CONcoo	et
aoust	NOMcom	août
sont	VERcjg	estre
le	DETdef	le
seconde	ADJord	second
quartier	NOMcom	quartier
;	PONfbl	;
septembre	NOMcom	septembre
,	PONfbl	,
octobre	NOMcom	octobre
et	CONcoo	et
novembre	NOMcom	novembre
sont	VERcjg	estre
le	DETdef	le
troisiesme	PROord	troisieme
;	PONfbl	;
decembre	NOMcom	décembre
,	PONfbl	,
janver	NOMcom	janver
et	CONcoo	et
fevrer	NOMcom	fevrer
sont	VERcjg	estre
le	DETdef	le
quatriesme	PROord	quatre-me
.	PONfrt	.

Et	CONcoo	et
en	PRE	en
chescun	DETind	chacun
mois	NOMcom	mois
yl	PROimp	il
y	PROadv	y
a	VERcjg	avoir
des	PRE.DETdef	de.le
bonnes	ADJqua	bon
festes	NOMcom	feste
,	PONfbl	,
qar	CONcoo	car
en	PRE	en
march	NOMcom	mars
comence	VERcjg	commencer
volentiers	ADVgen	volentiers
le	DETdef	le
Quaresme	NOMpro	Carême
,	PONfbl	,
començant	VERppa	commencer
par	PRE	par
Quaresme	NOMpro	Carême
prennant	VERppa	prendre
.	PONfrt	.

Et	CONcoo	et
luy	PROper	lui
ens	ADVgen	ens
est	VERcjg	estre
volentiers	ADVgen	volentiers
l'	DETdef	le
Anunciaçoun	NOMpro	Annunciaçon
de	PRE	de
Nostre	DETpos	notre
Dame	NOMcom	dame
et	CONcoo	et
Pasques	NOMpro	Pasques
fleuri	VERppe	fleurir
et	CONcoo	et
denaprés	VERppe	dénaprer
Pasques	NOMpro	Pasques
.	PONfrt	.

Et	CONcoo	et
april	NOMcom	april
est	VERcjg	estre
la	DETdef	le
feste	NOMcom	fête
de	PRE	de
mon	DETpos	mon
seignur	NOMcom	seigneur
seint	ADJqua	saint
Ambroise	NOMpro	Ambroise
evesque	NOMcom	évêque
et	CONcoo	et
docteur	NOMcom	douteur
et	CONcoo	et
de	PRE	de
mon	DETpos	mon
